frame,track_id,x_center,y_center,width,height
166,0.0597589,0.232032,0.0299394,0.0854993,27.0
315,0.0604057,0.46594,0.0254277,0.138865,48.0
345,0.0604426,0.349482,0.0453091,0.140445,46.0
183,0.0611958,0.391228,0.0269515,0.121271,11.0
292,0.0612647,0.61715,0.0344188,0.158694,44.0
97,0.0612868,0.60261,0.0429863,0.132946,10.0
324,0.0613055,0.453821,0.0302486,0.142215,48.0
205,0.0614949,0.394026,0.0249907,0.101063,5.0
220,0.0615858,0.443654,0.0463811,0.119,20.0
182,0.0628444,0.391354,0.0278145,0.122972,11.0
122,0.0640185,0.423449,0.0359728,0.123188,9.0
344,0.0642865,0.348997,0.0428452,0.139858,46.0
312,0.0643823,0.546004,0.0436885,0.149051,45.0
181,0.0645642,0.390514,0.0291436,0.123083,11.0
208,0.0646542,0.339275,0.024592,0.0932124,19.0
105,0.0650561,0.321438,0.026659,0.114299,3.0
70,0.0655283,0.460145,0.0195347,0.121026,6.0
287,0.0657261,0.498125,0.0396152,0.135776,43.0
165,0.0658019,0.231864,0.0263168,0.0857064,27.0
316,0.0658455,0.465366,0.0293552,0.137384,48.0
123,0.066508,0.207325,0.0193995,0.0838444,12.0
323,0.0667687,0.45495,0.0290118,0.142285,48.0
293,0.0668264,0.617253,0.0396789,0.158464,44.0
96,0.066929,0.600823,0.0454177,0.132394,10.0
375,0.0669837,0.501197,0.133967,0.987679,53.0
180,0.067599,0.390198,0.033958,0.121131,11.0
206,0.0677524,0.58884,0.0338006,0.141176,2.0
108,0.0678671,0.726472,0.0321337,0.160414,15.0
179,0.0680779,0.390421,0.0419348,0.118423,11.0
219,0.0683463,0.444664,0.0484975,0.117495,20.0
317,0.068961,0.46414,0.0312521,0.135235,48.0
100,0.0694352,0.302266,0.0168763,0.095926,8.0
322,0.0698132,0.458836,0.025706,0.139941,48.0
178,0.0710006,0.39045,0.0384765,0.117118,11.0
213,0.0716505,0.422046,0.0434056,0.108972,23.0
318,0.0721266,0.463601,0.0296451,0.131449,48.0
288,0.0723347,0.500787,0.03456,0.136114,43.0
313,0.0723981,0.543427,0.0509656,0.150009,45.0
204,0.0724127,0.397063,0.0248038,0.108651,5.0
343,0.0724323,0.34791,0.0371525,0.136959,46.0
164,0.0725174,0.231443,0.021711,0.08106,27.0
321,0.0726482,0.461827,0.0262287,0.134962,48.0
69,0.0729208,0.460062,0.0193379,0.12003,6.0
107,0.0733126,0.724066,0.0369754,0.158726,15.0
95,0.0734305,0.601479,0.0462595,0.133728,10.0
319,0.0738976,0.464317,0.0273718,0.130959,48.0
177,0.0742023,0.392206,0.0325497,0.115294,11.0
205,0.0742375,0.585378,0.0393631,0.140547,2.0
294,0.0743365,0.615969,0.0455536,0.160235,44.0
320,0.0744674,0.463112,0.0265701,0.134263,48.0
218,0.0756576,0.447148,0.0454691,0.115732,20.0
104,0.0766278,0.321793,0.0256962,0.112453,3.0
121,0.0766789,0.422814,0.0341333,0.12097,9.0
204,0.0767709,0.584029,0.0559574,0.141993,2.0
163,0.0771887,0.229588,0.0205307,0.0797796,27.0
207,0.0775358,0.335349,0.0229738,0.0859232,19.0
122,0.0781819,0.20753,0.0172966,0.0822558,12.0
176,0.0793291,0.395096,0.0249744,0.109765,11.0
68,0.0794543,0.458001,0.0188815,0.121955,6.0
162,0.0796219,0.231269,0.0251886,0.0788759,27.0
106,0.0797789,0.721313,0.0422417,0.15654,15.0
94,0.0802019,0.603915,0.0459292,0.138112,10.0
314,0.0804799,0.541321,0.0507451,0.142183,45.0
289,0.0805168,0.501559,0.0303812,0.137036,43.0
99,0.0807715,0.302798,0.0160474,0.0966251,8.0
342,0.0818534,0.35091,0.0413893,0.134895,46.0
203,0.0819444,0.394351,0.0301207,0.10827,5.0
175,0.0821086,0.397615,0.0223915,0.109575,11.0
295,0.0824704,0.614571,0.0506377,0.154479,44.0
161,0.0827381,0.229716,0.0301255,0.0769639,27.0
174,0.0834878,0.398141,0.0264027,0.111579,11.0
212,0.0843227,0.421664,0.0439193,0.109565,23.0
217,0.0847458,0.447614,0.0424926,0.121465,20.0
173,0.0851395,0.397532,0.0297773,0.110734,11.0
105,0.0854459,0.72045,0.0471196,0.159052,15.0
67,0.0855519,0.457008,0.0186769,0.121516,6.0
203,0.0861577,0.583621,0.0555061,0.14484,2.0
120,0.0868824,0.423032,0.0292807,0.120171,9.0
160,0.0874342,0.230067,0.0322554,0.0794653,27.0
290,0.0876155,0.502482,0.0307819,0.132633,43.0
93,0.087791,0.605397,0.0433647,0.139293,10.0
315,0.0880365,0.541404,0.0470838,0.142163,45.0
172,0.0886122,0.396743,0.0326076,0.11388,11.0
103,0.088643,0.322019,0.0238924,0.109124,3.0
171,0.0892307,0.398455,0.0402509,0.113297,11.0
296,0.089352,0.616371,0.0513886,0.152587,44.0
341,0.0893887,0.353692,0.0437561,0.130895,46.0
121,0.0901987,0.20709,0.0166211,0.0805573,12.0
206,0.0904366,0.34296,0.0250739,0.0986728,19.0
202,0.0905619,0.394968,0.0328955,0.107117,5.0
359,0.0906016,0.429794,0.0414676,0.108393,37.0
337,0.0907686,0.537807,0.0565554,0.149218,45.0
360,0.0913012,0.42655,0.0426251,0.109618,37.0
358,0.0915326,0.427851,0.0411449,0.108292,37.0
66,0.0916382,0.455292,0.019108,0.124222,6.0
98,0.0916552,0.303315,0.0169445,0.0969757,8.0
159,0.0916626,0.229544,0.0324825,0.0793722,27.0
361,0.0921159,0.415507,0.0425928,0.110603,37.0
104,0.0922499,0.719861,0.0479232,0.162736,15.0
342,0.0922764,0.540102,0.0405897,0.14827,45.0
341,0.092915,0.541636,0.0372812,0.14545,45.0
336,0.0930647,0.538037,0.0538022,0.14723,45.0
343,0.0931316,0.535028,0.0430434,0.148136,45.0
170,0.0931389,0.401263,0.0368563,0.120201,11.0
291,0.0932043,0.499373,0.0341349,0.139328,43.0
339,0.0935062,0.541983,0.0404354,0.14575,45.0
357,0.0936685,0.427177,0.0376114,0.110045,37.0
362,0.0939101,0.416412,0.0418194,0.111717,37.0
356,0.0940153,0.43185,0.0358289,0.103678,37.0
211,0.0945513,0.422808,0.0494692,0.110653,23.0
338,0.0946679,0.538457,0.0417318,0.145652,45.0
216,0.0948031,0.448718,0.0415869,0.121296,20.0
340,0.094836,0.542134,0.0364698,0.14467,45.0
316,0.0950732,0.543206,0.0429388,0.143279,45.0
158,0.0956912,0.229979,0.0316882,0.0806658,27.0
202,0.0957039,0.584865,0.0502717,0.141407,2.0
92,0.0958406,0.606129,0.0405269,0.141881,10.0
297,0.0961313,0.616664,0.0449143,0.152156,44.0
355,0.096215,0.437488,0.0312374,0.100346,37.0
363,0.0968102,0.420624,0.0422066,0.116201,37.0
340,0.0969276,0.354226,0.0422827,0.127257,46.0
119,0.097138,0.422731,0.025372,0.121068,9.0
169,0.0972299,0.402349,0.0352943,0.120929,11.0
65,0.0975495,0.453562,0.0192591,0.123771,6.0
